SourceImage,EqDiam_IQRoverMedian,EqDiam_median_overCrackWidth,EqDiam_median_px,EqDiam_p25_px,EqDiam_p75_px,H,HoleAreaPct_ofFilled,HoleAreaPct_ofFrame,Holes,MeanCrackWidth_px,W_px
260622_316_H_b2_back_CBS_01,0.653,0.234,20.03,13.64,26.72,4096,0.8738,0.0976,24,85.589,6144
260622_316_H_b2_front_CBS_01,0.892,0.17,17.81,15.14,31.02,4096,0.836,0.0842,19,104.575,6144
260622_316_H_b2_front_CBS_02,0.273,0.197,19.26,18.14,23.4,4096,0.3593,0.0351,8,97.84,6144
260622_316_H_b2_front_CBS_03,0.032,0.114,14.71,14.49,14.97,4096,0.0172,0.002,3,128.547,6144
260622_316_H_b2_front_CBS_04,1.968,0.119,13.68,13.52,40.45,4096,0.1999,0.0152,3,115.433,6144
260622_316_H_b4_CBS_01,1.42,0.242,24.77,13.65,48.83,4096,2.1914,0.2896,7,102.347,6144
260622_316_H_b4_CBS_02,1.499,0.452,26.99,16.42,56.88,4096,7.5736,0.6718,11,59.714,6144
260622_316_amb_b3_CBS_01,0.221,0.15,30.44,28.63,35.37,4096,0.1078,0.015,4,203.248,6144
260622_316_amb_b3_CBS_02,0.348,0.358,50.03,40.73,58.13,4096,0.6006,0.044,5,139.823,6144
260708_316_H_b2_front_CBS_001,,,,,,1490,0.0,0.0,0,61.261,1490
260708_316_H_b2_front_CBS_002,,,,,,2044,0.0,0.0,0,91.846,3067
260708_316_H_b2_front_CBS_003,0.349,0.108,17.75,14.66,20.84,2044,0.0362,0.0089,2,164.486,3068
260708_316_H_b2_front_CBS_004,0.0,0.094,24.28,24.28,24.28,2045,0.0169,0.0074,1,257.729,3072
260708_316_H_b2_front_CBS_005,1.226,0.034,17.66,15.1,36.75,4091,0.0548,0.0229,9,521.379,6139
260708_316_H_b2_front_CBS_006,0.0,0.07,20.15,20.15,20.15,2044,0.017,0.0051,1,286.613,3071
260708_316_H_b2_front_CBS_007,0.13,0.12,18.41,16.78,19.17,2047,0.1017,0.0156,4,153.864,3071
260708_316_H_b2_front_CBS_008,,,,,,2045,0.0,0.0,0,42.049,3072
260708_316_H_b2_front_CBS_009,,,,,,2038,0.0,0.0,0,7.15,3072
260708_316_H_b2_front_CBS_010,,,,,,,,,0,,
260708_316_H_b2_front_CBS_011,0.0,0.809,63.08,63.08,63.08,2041,0.7059,0.0498,1,77.998,3072
260708_316_H_b2_front_CBS_012,0.0,1.368,53.74,53.74,53.74,1903,0.9712,0.0388,1,39.284,3072
260708_316_H_b2_front_CBS_013,,,,,,2005,0.0,0.0,0,119.667,3072
260708_316_H_b2_front_CBS_014,,,,,,2045,0.0,0.0,0,139.461,3072
260708_316_H_b2_front_CBS_015,0.0,0.286,28.59,28.59,28.59,4092,0.0553,0.0026,1,99.817,6144
260708_316_H_b2_front_CBS_016,0.735,0.063,17.99,13.75,26.96,4090,0.0362,0.0088,6,283.282,6144
AS_24hr_BSE_Side_008,0.263,1.649,23.8,23.75,30.02,4096,0.1881,0.0076,3,14.432,6144
Cast_24hr_SE_Side_006,0.155,0.104,12.36,11.99,13.91,4096,0.0208,0.0043,8,119.312,6144
HIP_24hr_SE_Side_006,0.0,0.368,11.99,11.99,11.99,4096,0.0163,0.0004,1,32.607,6144
MAR_Amb_AS_CBS_0001,0.111,0.492,12.81,12.1,13.52,2952,0.1308,0.003,2,26.045,2952
MAR_Amb_AS_CBS_0002,0.774,0.11,21.04,14.52,30.8,4096,0.3019,0.0656,28,191.32,6144
MAR_Amb_AS_CBS_0003,0.811,0.053,22.8,15.99,34.47,4096,0.0777,0.0398,12,432.855,6144
MAR_Amb_AS_CBS_0004,0.328,1.068,15.88,13.54,18.75,4096,1.1908,0.0336,33,14.86,6144
MAR_Amb_AS_CBS_0005,,,,,,4096,0.0,0.0,0,12.189,6144
MAR_Amb_AS_CBS_0006,0.167,2.703,20.6,18.87,22.32,4096,0.5584,0.0027,2,7.619,6144
MAR_Amb_AS_ETD_0001,,,,,,3037,0.0,0.0,0,111.56,3036
MAR_Amb_AS_ETD_0002,1.298,0.136,26.66,19.25,53.86,4096,0.9251,0.1886,28,195.403,6144
MAR_Amb_AS_ETD_0003,0.886,0.099,30.92,18.02,45.42,4096,0.7898,0.3958,57,313.591,6144
MAR_Amb_AS_ETD_0004,0.189,0.829,15.12,13.69,16.55,4096,0.1208,0.0015,2,18.243,6144
MAR_Amb_AS_ETD_0006,0.309,4.166,31.82,26.26,36.1,4096,0.4604,0.0134,4,7.639,6144
MAR_Amb_Cast_CBS_0001,0.298,0.129,14.54,11.97,16.29,2971,0.1757,0.0269,11,112.978,2970
MAR_Amb_Cast_CBS_0002,0.653,0.064,18.93,14.19,26.56,4096,0.141,0.0386,22,296.156,6144
MAR_Amb_Cast_CBS_0003,,,,,,4096,0.0,0.0,0,8.916,6144
MAR_Amb_Cast_CBS_0004,0.686,0.068,16.51,13.18,24.5,4096,0.4255,0.1091,66,241.61,6144
MAR_Amb_Cast_CBS_0005,0.679,0.074,18.23,13.65,26.03,4096,0.3206,0.1328,62,247.146,6144
MAR_Amb_Cast_ETD_0001,0.0,0.061,11.34,11.34,11.34,3042,0.0091,0.0011,1,184.543,3041
MAR_Amb_Cast_ETD_0002,0.0,0.05,13.3,13.3,13.3,4096,0.0028,0.0006,1,267.937,6144
MAR_Amb_Cast_ETD_0003,,,,,,4096,0.0,0.0,0,7.672,6144
MAR_Amb_Cast_ETD_0004,1.319,0.459,50.4,33.04,99.51,4096,5.169,1.1498,40,109.767,6144
MAR_Amb_Cast_ETD_0005,0.636,0.237,30.95,27.58,47.28,4096,0.3137,0.0697,12,130.667,6144
MAR_Amb_HIP_CBS_0003,0.852,0.171,18.33,14.45,30.07,4096,0.1516,0.023,11,107.072,6144
MAR_Amb_HIP_CBS_0004,,,,,,4096,0.0,0.0,0,5.547,6144
MAR_Amb_HIP_CBS_0005,1.111,0.141,24.46,16.93,44.09,4096,1.1019,0.2379,35,173.701,6144
MAR_Amb_HIP_CBS_0006,0.264,0.806,16.44,13.9,18.25,4096,0.871,0.0388,22,20.409,6144
MAR_Amb_HIP_CBS_0007,,,,,,2048,0.0,0.0,0,15.102,3072
MAR_Amb_HIP_CBS_0008,0.192,0.632,15.1,14.39,17.29,2048,0.2625,0.0099,3,23.887,3072
MAR_Amb_HIP_CBS_0010,0.147,0.273,12.76,11.81,13.68,2048,0.0866,0.0081,4,46.664,3072
MAR_Amb_HIP_ETD_0003,0.0,0.062,13.06,13.06,13.06,4096,0.0053,0.0005,1,210.942,6144
MAR_Amb_HIP_ETD_0005,0.829,1.176,94.25,55.2,133.29,4096,3.1172,0.0935,2,80.12,6144
MAR_Amb_HIP_ETD_0006,,,,,,4096,0.0,0.0,0,36.603,6144
MAR_Amb_HIP_ETD_0007,,,,,,2048,0.0,0.0,0,15.599,3072
MAR_Amb_HIP_ETD_0008,,,,,,2048,0.0,0.0,0,21.574,3072
MAR_Amb_HIP_ETD_0010,,,,,,2048,0.0,0.0,0,58.412,3072
