frame,crack_px,mean_thick_px,median_thick_px,note
260622_316_H_b2_back_CBS_01,2455992,161.7,95.8,
260622_316_H_b2_front_CBS_01,47745,21.1,18.1,
260622_316_H_b2_front_CBS_03,720859,66.2,61.2,
260622_316_H_b2_front_CBS_04,1212455,125.8,105.6,
260622_316_H_b4_CBS_02,10290,10.1,10.0,
260708_316_H_b2_front_CBS_001,10434,6.8,4.0,
260708_316_H_b2_front_CBS_002,141662,44.9,41.6,
260708_316_H_b2_front_CBS_003,456639,52.2,41.2,
260708_316_H_b2_front_CBS_004,259973,36.9,31.0,
260708_316_H_b2_front_CBS_005,198244,34.0,26.0,
260708_316_H_b2_front_CBS_006,323934,80.3,79.8,
260708_316_H_b2_front_CBS_007,488756,122.9,127.1,
260708_316_H_b2_front_CBS_008,76053,46.4,40.3,
260708_316_H_b2_front_CBS_009,0,,,too few marks
260708_316_H_b2_front_CBS_010,0,,,too few marks
260708_316_H_b2_front_CBS_011,286833,65.9,58.9,
260708_316_H_b2_front_CBS_012,96885,32.6,30.0,
260708_316_H_b2_front_CBS_013,222132,92.1,78.0,
260708_316_H_b2_front_CBS_014,519097,169.8,110.3,
260708_316_H_b2_front_CBS_015,809711,178.8,140.7,
260708_316_H_b2_front_CBS_016,5322088,292.8,230.1,
AS_24hr_BSE_Side_008,916151,11.8,10.0,
Cast_24hr_SE_Side_006,3709448,308.8,288.7,
HIP_24hr_SE_Side_006,574137,54.9,36.1,
MAR_Amb_AS_CBS_0001,54300,28.8,20.0,
MAR_Amb_AS_CBS_0003,12780833,432.3,413.0,
MAR_Amb_AS_CBS_0004,339461,26.0,22.0,
MAR_Amb_AS_CBS_0005,15960,32.9,28.6,
MAR_Amb_AS_ETD_0001,310737,169.1,165.5,
MAR_Amb_AS_ETD_0002,4957080,249.3,207.5,
MAR_Amb_AS_ETD_0003,12388443,289.2,268.5,
MAR_Amb_AS_ETD_0004,17140,23.9,22.0,
MAR_Amb_Cast_CBS_0005,3061367,245.4,180.1,
MAR_Amb_Cast_ETD_0003,26983,9.1,8.2,
MAR_Amb_Cast_ETD_0004,4739397,213.6,173.9,
MAR_Amb_HIP_CBS_0003,2684580,181.1,140.0,
MAR_Amb_HIP_CBS_0005,5046494,245.8,223.0,
MAR_Amb_HIP_CBS_0006,603912,47.4,28.4,
MAR_Amb_HIP_CBS_0007,0,,,too few marks
MAR_Amb_HIP_CBS_0008,48914,62.5,60.0,
MAR_Amb_HIP_CBS_0010,308761,45.1,28.6,
MAR_Amb_HIP_ETD_0003,2236551,312.5,279.7,
MAR_Amb_HIP_ETD_0005,696681,145.4,145.7,
MAR_Amb_HIP_ETD_0006,334913,125.7,122.7,
MAR_Amb_HIP_ETD_0007,50711,16.9,15.6,
MAR_Amb_HIP_ETD_0008,147354,29.4,28.0,
MAR_Amb_HIP_ETD_0010,295614,38.8,33.5,
