Set,Family,Frames,Detectors,DispersionEstimable,CrackAreaPct_mean,CrackAreaPct_median,CrackAreaPct_sd,NetworkAreaPct_mean,NetworkAreaPct_median,NetworkAreaPct_sd,SpeckAreaPct_mean,SpeckAreaPct_median,SpeckAreaPct_sd,CensoredAreaSharePct_mean,CensoredAreaSharePct_median,CensoredAreaSharePct_sd,LargestAreaSharePct_mean,LargestAreaSharePct_median,LargestAreaSharePct_sd,AreaGini_mean,AreaGini_median,AreaGini_sd,SpeckDensity_perMpx_mean,SpeckDensity_perMpx_median,SpeckDensity_perMpx_sd,NetAwMeanAspect_mean,NetAwMeanAspect_median,NetAwMeanAspect_sd,NetAwMeanWidth_px_mean,NetAwMeanWidth_px_median,NetAwMeanWidth_px_sd,NetAwMeanSolidity_mean,NetAwMeanSolidity_median,NetAwMeanSolidity_sd,LengthDensity_px_perMpx_mean,LengthDensity_px_perMpx_median,LengthDensity_px_perMpx_sd,NetMedianArea_px_mean,NetMedianArea_px_median,NetMedianArea_px_sd,ReviewedPct_mean,ReviewedPct_median,ReviewedPct_sd,ConfirmedShareOfCrackPct_mean,ConfirmedShareOfCrackPct_median,ConfirmedShareOfCrackPct_sd,Anisotropy_R_mean,Anisotropy_R_median,Anisotropy_R_sd,SetOrientMean_deg,BetweenFrameConsistency_R,WithinFrameAnisotropy_R_mean,FramesReviewed,SpanningFrames
260622_316_H_b2,steel,5,CBS,True,10.044320424397787,9.978695710500082,1.601931410642813,9.955332279205322,9.874657789866129,1.587885892173056,0.0889881451924642,0.10403792063395183,0.050586356916885636,84.61430681683345,87.47382249511294,5.310408955101138,84.31001108357191,87.08620228964317,5.535301561281672,0.960920423187185,0.9611654419534132,0.007868171131797674,4.871686299641928,5.284945170084636,2.8150673495921077,4.0871298727379965,4.0479109405280385,0.16840439823757544,97.52016186118597,80.48427732169505,48.800436730305044,0.6378616333553412,0.6401435378361757,0.055832866099484346,794.0607865651449,882.862408955892,175.60213061890508,1950.4,1831.5,680.6725901635822,3.578805923461914,2.864436308542887,4.105626188018733,35.534074810640845,24.20591747290489,38.96220994743347,0.6500417060051198,0.632379552834222,0.1466789907127393,-82.41581526959857,0.9966862410369155,0.6500417060051198,4,0
260622_316_H_b4,steel,2,CBS,False,10.559378067652386,10.559378067652386,nan,10.491903622945149,10.491903622945149,nan,0.0674744447072347,0.0674744447072347,nan,84.91026304825948,84.91026304825948,nan,84.27448310292789,84.27448310292789,nan,0.9403420494602164,0.9403420494602164,nan,2.7815500895182295,2.7815500895182295,nan,6.716112103880384,6.716112103880384,nan,64.7379241428152,64.7379241428152,nan,0.45629158851396256,0.45629158851396256,nan,1188.3753538131714,1188.3753538131714,nan,1283.25,1283.25,nan,0.020444393157958984,0.020444393157958984,nan,0.2494561177840151,0.2494561177840151,nan,0.40672192633436777,0.40672192633436777,nan,76.91674500794888,0.9829807150243851,0.40672192633436777,1,0
260622_316_amb_b3,steel,2,CBS,False,10.598301887512207,10.598301887512207,nan,10.507839918136597,10.507839918136597,nan,0.09046196937561035,0.09046196937561035,nan,96.09526432424167,96.09526432424167,nan,96.09125319349027,96.09125319349027,nan,0.9808434373308204,0.9808434373308204,nan,4.669030507405599,4.669030507405599,nan,3.6177980519583173,3.6177980519583173,nan,85.27021733297312,85.27021733297312,nan,0.6533932694420064,0.6533932694420064,nan,419.34529940287274,419.34529940287274,nan,824.5,824.5,nan,0.0,0.0,nan,0.0,0.0,nan,0.310443361406345,0.310443361406345,nan,-52.75371834608756,0.9933348190543615,0.310443361406345,0,1
260708_316_H_b2,steel,16,CBS,True,14.41520500250844,8.472646788955737,14.268271113564515,14.388364559113704,8.443356827825772,14.261151787317242,0.026840443394737006,0.02571817192682171,0.015969619593175728,80.82741623260625,93.40083186949248,32.85574275819547,82.13735635828834,92.79228820992498,20.035938668771916,0.8215041034110673,0.9254490816955634,0.26208177444318287,1.738444476164616,1.592502455512661,1.226995494435638,4.821984445815994,4.1453582321013185,1.7663566307917284,70.0855571446446,41.4009304766609,73.03825943512688,0.6936679034720271,0.6606992567833267,0.10971457205964597,570.097232262412,585.6803005301919,261.4490563873619,1886.5,1472.5,1121.6982023444884,4.576235509385077,3.580584320199712,5.191326655447238,36.531502393357805,35.87192228156471,29.34404401187772,0.7653392327147538,0.8017324770745528,0.16615253936099977,-88.97831286078947,0.9802286478570317,0.7653392327147538,16,6
MAR_Amb_AS,superalloy,11,"CBS,ETD",True,14.254315213355847,2.901915709177653,19.408071480842764,14.1044686016276,2.6638309160868325,19.483267563422956,0.14984661172824965,0.05996227264404297,0.28612480657627115,55.29521795387539,84.57429907249096,46.667129584002566,52.53193086688318,68.51865861715918,44.189819464311825,0.8352452792089035,0.8573728198682152,0.16237483909029823,9.940022442881059,3.4968058268229165,20.50686688394935,4.053796384496406,3.930375645574475,0.8573535462608967,71.73832696424157,56.46121699033431,52.56586904226454,0.526295164655028,0.5485574763723804,0.0801552728721589,883.0436499049127,599.2733326723511,823.7909600493456,1412.5,1069.0,709.6287057327938,11.416766911013829,0.6231134465816203,20.019918749647687,43.76728296592023,27.38648227443979,45.601679453705856,0.5768506002841026,0.542569996139459,0.17240903881533906,87.3395377282405,0.954443995835215,0.5768506002841026,8,4
MAR_Amb_Cast,superalloy,10,"CBS,ETD",True,18.470993245122408,20.26596268018087,12.368487684110665,18.3499799220343,20.185893774032593,12.333945868268517,0.12101332308810772,0.08794568804572872,0.08900692199338787,75.67207074714727,91.91207977172284,37.553818012807966,73.25809574701972,91.53293174779208,36.823945640586466,0.9039750813104559,0.9816454298141754,0.16323020332395158,7.804429462286119,5.506612489707747,6.794084191810529,5.1705845883078005,4.39488088971111,1.7236296329581307,142.50310495915224,89.24550699369969,151.75604556135897,0.5085424125444373,0.5022868507782997,0.0687959685684051,875.541495532613,852.3539702097573,393.5842871381897,1146.65,1047.0,238.22877076923817,3.111605644226074,0.0,6.715194643787503,17.898199039807263,0.0,32.08898760206471,0.6596435582063456,0.7143084996889637,0.10530391965597469,-75.21423161528973,0.7311248103777162,0.6596435582063456,3,2
MAR_Amb_HIP,superalloy,13,"CBS,ETD",True,6.541231351021008,4.031928380330403,6.178406810192883,6.479647832039076,4.018719991048177,6.1573314145965545,0.061583518981933594,0.04947185516357422,0.04260166235485642,42.60217736176124,22.282932662436945,38.75452667231292,41.19042624304371,33.45969669192133,30.90767996957683,0.7898044927184488,0.8107284644694763,0.1913963757639653,4.007266117976262,3.655751546223958,3.4972139350453544,4.14206496028339,4.09561279645319,0.7875071761148708,109.03735339920587,62.302596813918136,96.27455532217992,0.5555654175195208,0.5538372256829351,0.06355319033765412,819.4188582591521,749.9965031941731,410.61165493732653,1919.1923076923076,1457.0,1140.1196673021786,4.594516754150391,2.4726231892903647,5.693734142569221,54.739295330782326,58.08954258930015,31.439891771927876,0.7469823577267094,0.7644224587755611,0.10109926075954756,82.54348022226856,0.8849228699504302,0.7469823577267094,11,1
AS_24hr,exposure,1,BSE,False,4.041850566864014,4.041850566864014,nan,3.9782563845316568,3.9782563845316568,nan,0.06359418233235677,0.06359418233235677,nan,19.86541023334464,19.86541023334464,nan,5.225012657730064,5.225012657730064,nan,0.6683283684550672,0.6683283684550672,nan,1.9470850626627603,1.9470850626627603,nan,14.861317702356533,14.861317702356533,nan,52.81016350956141,52.81016350956141,nan,0.4593446577824719,0.4593446577824719,nan,2573.9598274230957,2573.9598274230957,nan,1953.0,1953.0,nan,4.170326391855876,4.170326391855876,nan,90.0690645077249,90.0690645077249,nan,0.9165575088204555,0.9165575088204555,nan,-76.52387161564452,1.0,0.9165575088204555,1,0
Cast_24hr,exposure,1,SE,False,20.763905843098957,20.763905843098957,nan,20.573286215464275,20.573286215464275,nan,0.19061962763468424,0.19061962763468424,nan,88.80705583181256,88.80705583181256,nan,88.54696130904993,88.54696130904993,nan,0.9657782116819179,0.9657782116819179,nan,11.126200358072916,11.126200358072916,nan,7.848494578249377,7.848494578249377,nan,57.152725757454554,57.152725757454554,nan,0.5092035893868,0.5092035893868,nan,2135.5716387430825,2135.5716387430825,nan,1173.0,1173.0,nan,14.74002202351888,14.74002202351888,nan,70.98867686504097,70.98867686504097,nan,0.6985134803508453,0.6985134803508453,nan,-86.40828897728785,1.0,0.6985134803508453,1,1
HIP_24hr,exposure,1,SE,False,2.738940715789795,2.738940715789795,nan,2.715293566385905,2.715293566385905,nan,0.023647149403889973,0.023647149403889973,nan,24.783505034985936,24.783505034985936,nan,22.945056921963157,22.945056921963157,nan,0.8543333328497348,0.8543333328497348,nan,0.8742014567057291,0.8742014567057291,nan,4.813391309434213,4.813391309434213,nan,235.87299262202708,235.87299262202708,nan,0.4658177822016152,0.4658177822016152,nan,478.0320326487224,478.0320326487224,nan,1232.0,1232.0,nan,2.2814154624938965,2.2814154624938965,nan,83.295540109419,83.295540109419,nan,0.9056279389023889,0.9056279389023889,nan,84.3744532977866,0.9999999999999999,0.9056279389023889,1,0
