SourceImage,HFW_um,BarLabel_um,Source
260622_316_H_b2_back_CBS_01,259,100,databar
260622_316_H_b2_front_CBS_01,259,100,databar
260622_316_H_b2_front_CBS_02,173,50,databar
260622_316_H_b2_front_CBS_03,82.9,30,databar
260622_316_H_b2_front_CBS_04,173,50,databar
260622_316_H_b4_CBS_01,259,100,databar
260622_316_H_b4_CBS_02,173,50,databar
260622_316_amb_b3_CBS_01,259,100,databar
260622_316_amb_b3_CBS_02,173,50,databar
260708_316_H_b2_front_CBS_001,2590,1000,databar
AS_24hr_BSE_Side_008,414,100,databar
Cast_24hr_SE_Side_006,319,100,databar
HIP_24hr_SE_Side_006,41.4,10,databar
MAR_Amb_AS_CBS_0001,2070,500,databar
MAR_Amb_AS_CBS_0002,1040,400,databar
MAR_Amb_AS_CBS_0003,319,100,databar
MAR_Amb_AS_CBS_0004,259,100,databar
MAR_Amb_AS_CBS_0005,41.4,10,databar
MAR_Amb_AS_CBS_0006,1040,400,databar
MAR_Amb_AS_ETD_0001,2070,500,databar
MAR_Amb_AS_ETD_0002,1040,400,databar
MAR_Amb_AS_ETD_0003,319,100,databar
MAR_Amb_AS_ETD_0004,259,100,databar
MAR_Amb_AS_ETD_0006,1040,400,databar
MAR_Amb_Cast_CBS_0002,1040,400,databar
MAR_Amb_Cast_CBS_0003,1040,400,databar
MAR_Amb_Cast_CBS_0004,319,100,databar
MAR_Amb_Cast_CBS_0005,319,100,databar
MAR_Amb_Cast_ETD_0002,1040,400,databar
MAR_Amb_Cast_ETD_0003,1040,400,databar
MAR_Amb_Cast_ETD_0004,319,100,databar
MAR_Amb_Cast_ETD_0005,319,100,databar
MAR_Amb_HIP_CBS_0003,319,100,databar
MAR_Amb_HIP_CBS_0004,1040,400,databar
MAR_Amb_HIP_CBS_0005,414,100,databar
MAR_Amb_HIP_CBS_0006,41.4,10,databar
MAR_Amb_HIP_CBS_0007,10.4,4,databar
MAR_Amb_HIP_CBS_0008,13.8,5,databar
MAR_Amb_HIP_CBS_0010,59.2,20,databar
MAR_Amb_HIP_ETD_0003,319,100,databar
MAR_Amb_HIP_ETD_0005,414,100,databar
MAR_Amb_HIP_ETD_0006,41.4,10,databar
MAR_Amb_HIP_ETD_0007,10.4,4,databar
MAR_Amb_HIP_ETD_0008,13.8,5,databar
MAR_Amb_HIP_ETD_0010,59.2,20,databar
