SourceImage,Set,Family,Detector,Tier,H,W,SkeletonPx,SkeletonNodes,SkeletonEnds,Branches,NodeDensity_per100px_skel,SkelPerMpx,FractalDim,CrackAreaPct,MeanWidth_px
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,4096,6144,51628,7055,1843,1169,13.6651,2051.5,1.3654,2.7713,14.86
260622_316_H_b4_CBS_01,260622_316_H_b4,steel,CBS,hi,4096,6144,49616,2427,901,608,4.8916,1971.6,1.6933,12.9232,102.347
260708_316_H_b2_front_CBS_003,260708_316_H_b2,steel,CBS,lo,2044,3068,21496,1033,196,301,4.8055,3427.8,1.8504,24.4156,164.486
AS_24hr_BSE_Side_008,AS_24hr,exposure,BSE,hi,4096,6144,66581,2217,1180,985,3.3298,2645.7,1.3805,4.0419,14.432
MAR_Amb_Cast_ETD_0003,MAR_Amb_Cast,superalloy,ETD,hi,4096,6144,5230,172,218,97,3.2887,207.8,1.0593,0.1783,7.672
260708_316_H_b2_front_CBS_015,260708_316_H_b2,steel,CBS,hi,4092,6144,16087,1026,205,149,6.3778,639.9,1.6802,4.6156,99.817
260622_316_H_b2_front_CBS_02,260622_316_H_b2,steel,CBS,hi,4096,6144,49340,4710,1185,811,9.546,1960.6,1.6468,9.741,97.84
MAR_Amb_HIP_CBS_0003,MAR_Amb_HIP,superalloy,CBS,hi,4096,6144,58520,6705,1866,976,11.4576,2325.4,1.6872,15.1345,107.072
MAR_Amb_AS_ETD_0006,MAR_Amb_AS,superalloy,ETD,hi,4096,6144,98946,8606,6780,2974,8.6977,3931.8,1.303,2.9019,7.639
260622_316_H_b2_front_CBS_03,260622_316_H_b2,steel,CBS,hi,4096,6144,55132,5012,921,766,9.0909,2190.7,1.7242,11.8336,128.547
260708_316_H_b2_front_CBS_014,260708_316_H_b2,steel,CBS,lo,2045,3072,7500,216,59,91,2.88,1193.8,1.7494,9.9384,139.461
MAR_Amb_Cast_ETD_0002,MAR_Amb_Cast,superalloy,ETD,hi,4096,6144,36691,2648,822,467,7.217,1458.0,1.8202,19.4567,267.937
260708_316_H_b2_front_CBS_002,260708_316_H_b2,steel,CBS,lo,2044,3067,5230,214,55,97,4.0918,834.3,1.7587,4.8775,91.846
MAR_Amb_AS_CBS_0005,MAR_Amb_AS,superalloy,CBS,hi,4096,6144,19157,920,727,392,4.8024,761.2,1.1933,0.9768,12.189
