NOTE: regenerable artefacts are absent, so some claims cannot be checked.
      This is not drift. Regenerate with:
        - analysis/regions.csv (tools/analyse_sets.py)

doc                        claim                                               published        derived   status
----------------------------------------------------------------------------------------------------------------
README / CRACK_ANALYSIS    frames in corpus                                           62             62   PASS
README / CRACK_ANALYSIS    specimen sets                                              10             10   PASS
README                     hard links under sets/                                    186            186   PASS
LABEL_GRANULARITY          hand-marked pixels                                 70,434,978     70,434,978   PASS
CRACK_ANALYSIS             frames with a correction mask                              47             47   PASS
CRACK_ANALYSIS             frames with zero human review                              16             16   PASS
LABEL_GRANULARITY          % marked px on frames with stroke >80 px                 91.1           91.1   PASS
LABEL_GRANULARITY          % marked px on frames with stroke <=25 px                 2.1            2.1   PASS
LABEL_GRANULARITY          median stroke thickness (px)                               59             59   PASS
LABEL_GRANULARITY          max stroke thickness (px)                                 413            413   PASS
CRACK_ANALYSIS             % crack area in top 1% of regions                        92.5           92.5   PASS
CRACK_ANALYSIS             % of regions <=500 px2                                     66           66.0   PASS
CRACK_ANALYSIS             % crack area in regions <=500 px2                        0.73           0.73   PASS
CORRECTION_scale           frames with HFW read                                       45             45   PASS
CORRECTION_scale           min HFW (um)                                             10.4           10.4   PASS
CORRECTION_scale           max HFW (um)                                             2590         2590.0   PASS
CORRECTION_scale           magnification span (x)                                    249          249.0   PASS
CRACK_ANALYSIS / VERDICT   index-matched CBS/ETD pairs                                16             16   PASS
CRACK_ANALYSIS / VERDICT   registration-confirmed pairs                                8              8   PASS
CRACK_ANALYSIS             pairs where CBS reads higher                                8              8   PASS
CRACK_ANALYSIS             median CBS-ETD delta (pp)                                3.88           3.88   PASS
CRACK_ANALYSIS             Wilcoxon p, paired detector                            0.0078         0.0078   PASS
LINEARITY                  skeleton branches                                      33,471         33,471   PASS
NOVELTY / LINEARITY        area-fraction identity max error                          0.0       5.55e-17   PASS
HEAD_TO_HEAD / README      pooled grouped-CV AUC                                  0.7144         0.7144   PASS
HEAD_TO_HEAD / README      single-image LOIO AUC                                   0.884          0.884   PASS
sam3 tiles                 disjoint tiles tested                                      15             15   PASS
LEAK_POSTMORTEM            tiles the invalid input contaminated                       13             13   PASS
LEAK_POSTMORTEM            tiles the current input contaminates                        0              0   PASS
LEAK_POSTMORTEM            median best-threshold IoU (OIS), clean input            0.409          0.409   PASS
LEAK_POSTMORTEM            label frames registered at ncc >= 0.99                      9              9   PASS
LEAK_POSTMORTEM            frames registering at ncc exactly 1.0                       5              5   PASS
LEAK_POSTMORTEM            distinct RGB triples in the burn-in                         1              1   PASS
LEAK_POSTMORTEM            green value the burn-in writes                             25             25   PASS
sam3 clean run             tiles where 'crack' returned instances                     13             13   PASS
sam3 clean run             median union IoU, 'crack', 15 disjoint tiles           0.1914         0.1914   PASS
sam3 clean run             median oracle IoU, 'crack', 15 disjoint tiles          0.3871         0.3871   PASS
sam3 clean run             gate self-check (IDENTITY, not a result)                   60             60   PASS
sam3 clean run             presence span, best/worst prompt                        105.3          105.3   PASS
sam3 clean run             R2 of logit(presence) by prompt                        0.8148         0.8147   PASS
sam3 clean run             always-empty baseline (of 60)                              39             39   PASS
sam3 clean run             prompt-identity-only baseline (of 60)                      50             50   PASS
sam3 clean run             max instances returned (of 200 queries)                    62             62   PASS
sam3 clean run             median presence scalar, 'crack'                        0.9062         0.9062   PASS
sam3 clean run             median presence scalar, 'fracture'                     0.0086         0.0086   PASS
POSITION_VS_2026           IoU ceiling, perfect 3 px trace                        0.1662         0.1662   PASS
POSITION_VS_2026           best IoU arm (global threshold, LOFO)                  0.2579         0.2579   PASS
POSITION_VS_2026           best clDice arm (Meijering, LOFO)                      0.3382         0.3382   PASS
POSITION_VS_2026           nested-LOFO clDice                                     0.1739         0.1739   PASS
POSITION_VS_2026           hindsight selection premium, clDice                    0.1643         0.1643   PASS
POSITION_VS_2026           OmniCrack30k LOFO IoU                                  0.2069         0.2069   PASS
POSITION_VS_2026           OmniCrack30k LOFO clDice                               0.3304         0.3304   PASS
POSITION_VS_2026           SERD+Sobel LOFO clDice                                 0.3234         0.3234   PASS
corridor_metric            containment of an all-ones prediction                   0.055          0.055   PASS
corridor_metric            coverage of area-matched random                           0.9            0.9   PASS
----------------------------------------------------------------------------------------------------------------
55 registered claims, 55 pass, 0 fail
