SourceImage,Set,Family,Detector,Tier,PathLen_px,Chord_px,Tortuosity,Vertices,SegMean_px,SegMax_px,Straightness,TurnMean_deg,TurnMedian_deg,TurnP90_deg,TurnsPerLen_per100px,Width_mean_px,Width_sd_px,Width_cv,NetAngle_deg,Censored,FrameMeanWidth_px
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,25.66,24.08,1.0653,2,24.08,24.08,0.9387,,,,0.0,3.62,0.71,0.1953,4.76,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,37.31,34.93,1.0683,2,34.93,34.93,0.9361,,,,0.0,11.31,6.34,0.5603,-76.76,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,75.53,63.6,1.1875,3,35.38,36.24,0.8421,52.01,52.01,52.01,1.324,14.88,6.0,0.4032,53.31,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,36.21,31.89,1.1356,3,17.1,23.02,0.8806,45.31,45.31,45.31,2.7614,5.03,1.48,0.2936,-48.81,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,43.38,40.16,1.0802,2,40.16,40.16,0.9257,,,,0.0,23.79,10.16,0.4271,-71.11,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,59.94,53.01,1.1308,3,27.54,30.08,0.8844,31.68,31.68,31.68,1.6683,24.1,9.84,0.4084,54.21,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,14.83,14.14,1.0485,2,14.14,14.14,0.9537,,,,0.0,12.58,5.07,0.4028,8.13,False,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,20.97,19.85,1.0565,2,19.85,19.85,0.9465,,,,0.0,8.33,4.35,0.5224,49.09,False,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,111.57,95.82,1.1644,5,25.67,33.3,0.8588,21.52,20.31,29.62,2.6889,10.57,7.08,0.67,-18.25,False,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,38.14,33.11,1.1521,3,17.9,25.5,0.868,49.64,49.64,49.64,2.6218,8.63,3.35,0.388,-25.02,True,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,32.07,30.41,1.0545,3,15.91,24.0,0.9483,39.81,39.81,39.81,3.1181,32.09,2.59,0.0808,-80.54,False,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,21.31,17.2,1.2388,3,9.62,15.23,0.8072,66.8,66.8,66.8,4.6918,3.78,1.45,0.3837,-54.46,False,14.86
MAR_Amb_AS_CBS_0004,MAR_Amb_AS,superalloy,CBS,hi,19.38,19.1,1.0146,2,19.1,19.1,0.9856,,,,0.0,18.44,11.4,0.618,42.88,False,14.86
