frame,StageX,StageY,StageZ,StageR,StageT,WD,HorFieldsize,Dwell,HV,BeamCurrent,SpotSize,Date,Time,PixelWidth,PixelHeight,ResolutionX,ResolutionY,SystemType,Software,nm_per_px
MAR_AmbB_AS_CBS_0001.tif,0.0256486,0.00367608,0.0100002,-0.0169479,3.90252e-007,0.010003,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:40:49 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0002.tif,0.0260859,0.00360758,0.0100002,-0.0169479,3.90252e-007,0.00998749,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:47:31 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0003.tif,0.0265221,0.0036635,0.0100002,-0.0169479,3.90252e-007,0.00999646,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:51:38 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0004.tif,0.0256532,0.00327892,0.0100002,-0.0169479,3.90252e-007,0.00999445,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:43:12 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0005.tif,0.0265247,0.00326542,0.0100002,-0.0169479,3.90252e-007,0.0100003,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:53:41 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0006.tif,0.0260883,0.00270892,0.0100002,-0.0169479,3.90252e-007,0.00999194,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:58:27 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0007.tif,0.0256532,0.00277892,0.0100002,-0.0169479,3.90252e-007,0.00998749,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:45:06 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0008.tif,0.0260886,0.00320833,0.0100002,-0.0169479,3.90252e-007,0.00999646,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:49:23 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0009.tif,0.0265247,0.00276542,0.0100002,-0.0169479,3.90252e-007,0.00999229,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:55:28 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_CBS_0010.tif,0.0262398,0.00302575,0.01,-3.31672e-007,3.90252e-007,0.00997243,0.001036,5e-006,30000,1.6e-009,,09/15/2026,03:30:52 PM,3.3724e-007,3.3724e-007,3072,2048,Apreo,13.9.1.6395,337.2396
MAR_AmbB_AS_ETD_0001.tif,0.0256486,0.00367608,0.0100002,-0.0169479,3.90252e-007,0.010003,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:40:49 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0002.tif,0.0260859,0.00360758,0.0100002,-0.0169479,3.90252e-007,0.00998749,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:47:31 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0003.tif,0.0265221,0.0036635,0.0100002,-0.0169479,3.90252e-007,0.00999646,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:51:38 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0004.tif,0.0256532,0.00327892,0.0100002,-0.0169479,3.90252e-007,0.00999445,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:43:12 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0005.tif,0.0265247,0.00326542,0.0100002,-0.0169479,3.90252e-007,0.0100003,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:53:41 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0006.tif,0.0260883,0.00270892,0.0100002,-0.0169479,3.90252e-007,0.00999194,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:58:27 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0007.tif,0.0256532,0.00277892,0.0100002,-0.0169479,3.90252e-007,0.00998749,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:45:06 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0008.tif,0.0260886,0.00320833,0.0100002,-0.0169479,3.90252e-007,0.00999646,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:49:23 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0009.tif,0.0265247,0.00276542,0.0100002,-0.0169479,3.90252e-007,0.00999229,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:55:28 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_AS_ETD_0010.tif,0.0262398,0.00302575,0.01,-3.31672e-007,3.90252e-007,0.00997243,0.001036,5e-006,30000,1.6e-009,,09/15/2026,03:30:52 PM,3.3724e-007,3.3724e-007,3072,2048,Apreo,13.9.1.6395,337.2396
MAR_AmbB_HIP_CBS_0001.tif,0.000302667,-0.0282245,0.0100001,-0.00312494,3.90252e-007,0.0100015,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:10:47 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0002.tif,0.000773917,-0.0281738,0.0100001,-0.00312494,3.90252e-007,0.0100015,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:13:36 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0003.tif,0.00124467,-0.0281609,0.0100001,-0.00312494,3.90252e-007,0.0100041,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:17:18 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0004.tif,0.000304917,-0.0286197,0.0100001,-0.00312494,3.90252e-007,0.00999527,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:19:30 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0005.tif,0.000774917,-0.0285677,0.0100001,-0.00312494,3.90252e-007,0.00999898,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:21:52 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0006.tif,0.00124658,-0.0285601,0.0100001,-0.00312494,3.90252e-007,0.00999521,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:24:15 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0007.tif,0.000306083,-0.029117,0.0100001,-0.00312494,3.90252e-007,0.00999296,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:31:10 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0008.tif,0.00077625,-0.0290683,0.0100001,-0.00312494,3.90252e-007,0.00999426,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:29:02 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0009.tif,0.00124483,-0.0290613,0.0100001,-0.00312494,3.90252e-007,0.00999493,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:33:48 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_CBS_0010.tif,0.000688417,-0.0283647,0.0120002,-3.31672e-007,3.90252e-007,0.0119228,0.001036,5e-006,30000,1.6e-009,,09/15/2026,03:35:26 PM,3.3724e-007,3.3724e-007,3072,2048,Apreo,13.9.1.6395,337.2396
MAR_AmbB_HIP_ETD_0001.tif,0.000302667,-0.0282245,0.0100001,-0.00312494,3.90252e-007,0.0100015,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:10:47 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_ETD_0002.tif,0.000773917,-0.0281738,0.0100001,-0.00312494,3.90252e-007,0.0100015,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:13:36 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
MAR_AmbB_HIP_ETD_0003.tif,0.00124467,-0.0281609,0.0100001,-0.00312494,3.90252e-007,0.0100041,0.000318769,3e-006,30000,1.6e-009,,09/15/2026,05:17:18 PM,5.1883e-008,5.1883e-008,6144,4096,Apreo,13.9.1.6395,51.883
