SourceImage,H,W,Family,Detector,Set,Regions,Networks,Specks,SpeckDensity_perMpx,CrackAreaPct,NetworkAreaPct,SpeckAreaPct,CensoredRegions,CensoredAreaSharePct,LargestRegion_px,LargestAreaSharePct,AreaGini,LargestSpansH,LargestSpansV,LargestCensored,UncensoredNetworks,NetMedianArea_px,NetP90Area_px,NetMedianLength_px,NetMaxLength_px,NetAwMeanWidth_px,NetAwMeanAspect,NetAwMeanSolidity,NetMedianAspect,TotalLength_px,LengthDensity_px_perMpx,OrientMean_deg,Anisotropy_R,OrientN,ReviewedPct,CrackMarked_px,NotCrackMarked_px,ConfirmedShareOfCrackPct
260622_316_H_b2_back_CBS_01,4096.0,6144.0,steel,CBS,260622_316_H_b2,311,92,219,8.702278137207031,11.060122648874918,10.901880264282227,0.15824238459269205,5,88.68875187677101,2466889.0,88.62954309720119,0.9711677279213423,False,False,True,90,1341.0,6532.700000000009,93.94999999999999,700.94,80.48427732169505,4.104755821257529,0.5745618761641608,3.7560000000000002,23429.57,931.0074647267659,-79.17947057040861,0.4727584938242791,79,9.980408350626627,2455992.0,17635.0,88.23803941335883
260622_316_H_b2_front_CBS_01,4096.0,6144.0,steel,CBS,260622_316_H_b2,260,107,153,6.079673767089844,9.978695710500082,9.874657789866129,0.10403792063395183,4,87.47382249511294,2186927.0,87.08620228964317,0.9611654419534132,False,False,True,104,1302.0,6557.7,104.35499999999999,399.34,67.18221760860675,3.9278237094392723,0.6059823650517472,4.29,23359.36,928.2175699869791,-83.97912501797173,0.5524555370274223,91,0.18972158432006836,47745.0,0.0,1.9012663560873375
260622_316_H_b2_front_CBS_02,4096.0,6144.0,steel,CBS,260622_316_H_b2,226,93,133,5.284945170084636,9.74102814992269,9.636600812276205,0.10442733764648438,4,83.27746072668383,2039336.0,83.19032719944848,0.9582719181335878,False,False,True,90,1831.5,9969.300000000007,108.845,547.82,81.11167509741814,4.0479109405280385,0.6447757525162016,3.8245,22217.960000000003,882.862408955892,-84.15405491444393,0.632379552834222,81,0.0,0.0,0.0,0.0
260622_316_H_b2_front_CBS_03,4096.0,6144.0,steel,CBS,260622_316_H_b2,101,60,41,1.629193623860677,11.833620071411133,11.79502805074056,0.038592020670572914,5,75.87551225173168,2236911.0,75.11383371815174,0.9497601489414079,False,False,True,56,2415.5,23276.0,116.56,1061.12,184.23826534123924,3.9906962443089173,0.6401435378361757,3.3345,17555.579999999998,697.5960731506347,-80.72649205493309,0.764627774418655,47,2.864436308542887,720859.0,0.0,24.20591747290489
260622_316_H_b2_front_CBS_04,4096.0,6144.0,steel,CBS,260622_316_H_b2,114,47,67,2.6623407999674478,7.60813554128011,7.568494478861491,0.03964106241861979,3,87.75598673386781,1675896.0,87.53014911341498,0.9642368789861736,False,False,True,45,2862.0,8619.6,140.07,471.22,74.58437393697069,4.364462648156229,0.7238446352084205,4.029,13353.5,530.6204160054525,-85.45399660914175,0.8279871719210208,39,4.859463373819987,1212455.0,7683.0,63.32515081085316
260622_316_H_b4_CBS_01,4096.0,6144.0,steel,CBS,260622_316_H_b4,227,124,103,4.092852274576823,12.923169136047363,12.829867998758951,0.09330113728841145,2,91.28097651390341,2967842.0,91.2558244793867,0.9645797082787156,False,False,True,122,1060.5,4829.100000000001,110.73,717.43,56.56230865650064,6.276154720434324,0.47482027514399305,5.991,27461.170000000002,1091.208855311076,81.12362894469184,0.3482413488654949,113,0.0,0.0,0.0,0.0
260622_316_H_b4_CBS_02,4096.0,6144.0,steel,CBS,260622_316_H_b4,164,127,37,1.4702479044596353,8.195586999257406,8.153939247131348,0.041647752126057945,8,78.53954958261555,1594161.0,77.29314172646906,0.9161043906417172,False,False,True,121,1506.0,8510.0,140.85,1078.46,72.91353962912977,7.156069487326444,0.437762901883932,6.649,32351.719999999998,1285.5418523152669,70.26145876846667,0.4652025038032407,119,0.04088878631591797,10290.0,0.0,0.4989122355680302
260622_316_amb_b3_CBS_01,4096.0,6144.0,steel,CBS,260622_316_amb_b3,215,35,180,7.152557373046875,13.91529639561971,13.780800501505533,0.13449589411417642,1,97.33481748045845,3408567.0,97.33481748045845,0.9856329340299397,False,True,True,34,842.0,2040.4999999999998,76.43,384.99,78.41931411280154,3.638572665377826,0.6082254669244348,3.596,12928.830000000002,513.7455463409424,-50.36008172590277,0.21950286255056334,30,0.0,0.0,0.0,0.0
260622_316_amb_b3_CBS_02,4096.0,6144.0,steel,CBS,260622_316_amb_b3,83,28,55,2.1855036417643228,7.281307379404704,7.234879334767659,0.04642804463704427,2,94.8557111680249,1737990.0,94.8476889065221,0.9760539406317011,False,False,True,27,807.0,3444.200000000007,65.03,469.89,92.12112055314468,3.597023438538809,0.6985610719595778,3.201,8177.510000000001,324.9450524648031,-57.32715045247279,0.40138386026212663,22,0.0,0.0,0.0,0.0
260708_316_H_b2_front_CBS_001,1490.0,1490.0,steel,CBS,260708_316_H_b2,1,1,0,0.0,5.464528624836719,5.464528624836719,0.0,1,100.0,121318.0,100.0,0.0,False,False,True,0,nan,nan,nan,nan,nan,nan,nan,nan,1192.57,537.1694968695103,nan,nan,0,0.4699788297824422,10434.0,0.0,8.600537430554411
260708_316_H_b2_front_CBS_002,2044.0,3067.0,steel,CBS,260708_316_H_b2,9,5,4,0.638065589314188,4.877548832754714,4.863399728311672,0.014149104443042118,1,98.21533108110317,300314.0,98.21533108110317,0.8775274451940976,False,False,True,4,1159.0,1465.8,69.485,82.44,25.05133479212254,3.243029759299781,0.8574074617067834,2.922,2377.38,379.23109268094106,-81.72247467942242,0.4107935523873954,3,2.264415018277389,141662.0,0.0,46.329442622093005
260708_316_H_b2_front_CBS_003,2044.0,3068.0,steel,CBS,260708_316_H_b2,28,15,13,2.073037248333278,24.415594853254476,24.366782799276415,0.0488120539780628,2,98.15766442427014,1494725.0,97.62425707008033,0.9555814213870514,True,False,True,13,978.0,3559.4000000000005,90.24,369.45,36.6449906549489,5.192668031972005,0.6913656976975386,2.658,5492.669999999998,875.8853463694418,89.55322428566897,0.6591688005804399,8,7.480443285528032,456639.0,7033.0,29.824244007576258
260708_316_H_b2_front_CBS_004,2045.0,3072.0,steel,CBS,260708_316_H_b2,28,15,13,2.0693255908720456,43.71471003973105,43.67276640179299,0.04194363793806031,1,98.97806582982038,2718198.0,98.97806582982038,0.9599430337568855,True,False,True,14,1234.0,3920.400000000002,99.53999999999999,187.48,35.96729335430594,3.9214760912308297,0.6606992567833267,3.9055,5375.93,855.7345787489813,87.28412434832934,0.6251304352706667,13,4.138221398736756,259973.0,0.0,9.466427650956955
