SourceImage,HasCorrections,CrackMarked_px,NotCrackMarked_px,Erased_px,ReviewedPct,MaskH,MaskW
260622_316_H_b2_back_CBS_01,True,2455992,17635,38025,9.980408350626627,4096,6144
260622_316_H_b2_front_CBS_01,True,47745,0,0,0.18972158432006836,4096,6144
260622_316_H_b2_front_CBS_02,False,0,0,0,0.0,,
260622_316_H_b2_front_CBS_03,True,720859,0,0,2.864436308542887,4096,6144
260622_316_H_b2_front_CBS_04,True,1212455,7683,2786,4.859463373819987,4096,6144
260622_316_H_b4_CBS_01,False,0,0,0,0.0,,
260622_316_H_b4_CBS_02,True,10290,0,0,0.04088878631591797,4096,6144
260622_316_amb_b3_CBS_01,False,0,0,0,0.0,,
260622_316_amb_b3_CBS_02,False,0,0,0,0.0,,
260708_316_H_b2_front_CBS_001,True,10434,0,0,0.4699788297824422,1490,1490
260708_316_H_b2_front_CBS_002,True,141662,0,293,2.264415018277389,2044,3067
260708_316_H_b2_front_CBS_003,True,456639,7033,5426,7.480443285528032,2044,3068
260708_316_H_b2_front_CBS_004,True,259973,0,0,4.138221398736756,2045,3072
260708_316_H_b2_front_CBS_005,True,198244,0,0,0.7893560447530045,4091,6139
260708_316_H_b2_front_CBS_006,True,323934,0,0,5.160548047163,2044,3071
260708_316_H_b2_front_CBS_007,True,488756,0,2575,7.815855242886278,2047,3071
260708_316_H_b2_front_CBS_008,True,76053,0,0,1.2106032243276283,2045,3072
260708_316_H_b2_front_CBS_009,True,0,2564,0,0.0409536514556755,2038,3072
260708_316_H_b2_front_CBS_010,True,0,5661,5392,0.17663140750286369,2037,3072
260708_316_H_b2_front_CBS_011,True,286833,0,358,4.580433789604769,2041,3072
260708_316_H_b2_front_CBS_012,True,96885,31988,11873,2.4075541360133124,1903,3072
260708_316_H_b2_front_CBS_013,True,222132,8322,11175,3.9229562811720697,2005,3072
260708_316_H_b2_front_CBS_014,True,519097,0,4609,8.336294060717197,2045,3072
260708_316_H_b2_front_CBS_015,True,809711,4416,0,3.2382123592273544,4092,6144
260708_316_H_b2_front_CBS_016,True,5322088,822,1241,21.187311373013447,4090,6144
AS_24hr_BSE_Side_008,True,916151,133346,0,4.170326391855876,4096,6144
Cast_24hr_SE_Side_006,True,3709448,0,0,14.74002202351888,4096,6144
HIP_24hr_SE_Side_006,True,574137,0,0,2.2814154624938965,4096,6144
MAR_Amb_AS_CBS_0001,True,54300,0,0,0.6231134465816203,2952,2952
MAR_Amb_AS_CBS_0002,False,0,0,0,0.0,,
MAR_Amb_AS_CBS_0003,True,12780833,26284,10928,50.93433459599813,4096,6144
MAR_Amb_AS_CBS_0004,True,339461,0,0,1.348896821339925,4096,6144
MAR_Amb_AS_CBS_0005,True,15960,0,0,0.06341934204101562,4096,6144
MAR_Amb_AS_CBS_0006,False,0,0,0,0.0,,
MAR_Amb_AS_ETD_0001,True,310737,0,0,3.3701281038470197,3037,3036
MAR_Amb_AS_ETD_0002,True,4957080,0,9678,19.736123085021973,4096,6144
MAR_Amb_AS_ETD_0003,True,12388443,0,53619,49.44031238555908,4096,6144
MAR_Amb_AS_ETD_0004,True,17140,0,0,0.06810824076334636,4096,6144
MAR_Amb_AS_ETD_0006,False,0,0,0,0.0,,
MAR_Amb_Cast_CBS_0001,False,0,0,0,0.0,,
MAR_Amb_Cast_CBS_0002,False,0,0,0,0.0,,
MAR_Amb_Cast_CBS_0003,False,0,0,0,0.0,,
MAR_Amb_Cast_CBS_0004,False,0,0,0,0.0,,
MAR_Amb_Cast_CBS_0005,True,3061367,0,0,12.164779504140219,4096,6144
MAR_Amb_Cast_ETD_0001,False,0,0,0,0.0,,
MAR_Amb_Cast_ETD_0002,False,0,0,0,0.0,,
MAR_Amb_Cast_ETD_0003,True,26983,2865,0,0.1186052958170573,4096,6144
MAR_Amb_Cast_ETD_0004,True,4739397,0,0,18.832671642303467,4096,6144
MAR_Amb_Cast_ETD_0005,False,0,0,0,0.0,,
MAR_Amb_HIP_CBS_0003,True,2684580,0,0,10.667562484741211,4096,6144
MAR_Amb_HIP_CBS_0004,False,0,0,0,0.0,,
MAR_Amb_HIP_CBS_0005,True,5046494,0,0,20.052965482076008,4096,6144
MAR_Amb_HIP_CBS_0006,True,603912,9733,8611,2.4726231892903647,4096,6144
MAR_Amb_HIP_CBS_0007,True,0,0,0,0.0,2048,3072
MAR_Amb_HIP_CBS_0008,True,48914,0,0,0.7774670918782552,2048,3072
MAR_Amb_HIP_CBS_0010,True,308761,0,0,4.907623926798503,2048,3072
MAR_Amb_HIP_ETD_0003,True,2236551,0,0,8.887255191802979,4096,6144
MAR_Amb_HIP_ETD_0005,True,696681,0,4333,2.7855793635050454,4096,6144
MAR_Amb_HIP_ETD_0006,True,334913,0,0,1.3308246930440266,4096,6144
MAR_Amb_HIP_ETD_0007,True,50711,0,0,0.8060296376546224,2048,3072
MAR_Amb_HIP_ETD_0008,True,147354,0,0,2.3421287536621094,2048,3072
MAR_Amb_HIP_ETD_0010,True,295614,0,0,4.698657989501953,2048,3072
