N_pct,M_pct,floor,recall,pool_accept
7.0,20.0,0.8,0.0,0.0008403361344537816
18.0,5.0,0.8,0.02564102564102564,0.004201680672268907
17.0,8.0,0.81,0.05128205128205128,0.005042016806722689
17.0,12.0,0.81,0.07692307692307693,0.0067226890756302525
18.0,12.0,0.73,0.10256410256410256,0.011764705882352941
17.0,36.0,0.81,0.1282051282051282,0.023529411764705882
18.0,36.0,0.75,0.15384615384615385,0.031092436974789917
64.0,12.0,0.61,0.1794871794871795,0.06302521008403361
28.0,36.0,0.34,0.20512820512820512,0.08487394957983194
32.0,36.0,0.34,0.23076923076923078,0.09915966386554621
28.0,48.0,0.34,0.2564102564102564,0.12941176470588237
32.0,48.0,0.34,0.28205128205128205,0.14873949579831933
22.0,76.0,0.63,0.3076923076923077,0.17647058823529413
65.0,50.0,0.76,0.3333333333333333,0.18907563025210083
34.0,79.0,0.76,0.358974358974359,0.20252100840336135
29.0,79.0,0.62,0.38461538461538464,0.2235294117647059
35.0,95.0,0.76,0.41025641025641024,0.23697478991596638
34.0,79.0,0.62,0.4358974358974359,0.25798319327731095
34.0,84.0,0.62,0.46153846153846156,0.27058823529411763
34.0,91.0,0.62,0.48717948717948717,0.28823529411764703
35.0,95.0,0.62,0.5128205128205128,0.3025210084033613
51.0,95.0,0.76,0.5384615384615384,0.3176470588235294
57.0,95.0,0.76,0.5641025641025641,0.35798319327731093
65.0,95.0,0.78,0.5897435897435898,0.3865546218487395
51.0,88.0,0.62,0.6153846153846154,0.3957983193277311
51.0,91.0,0.62,0.6410256410256411,0.40672268907563025
51.0,95.0,0.62,0.6666666666666666,0.42100840336134454
57.0,95.0,0.62,0.6923076923076923,0.47058823529411764
57.0,95.0,0.57,0.717948717948718,0.49495798319327733
65.0,95.0,0.62,0.7435897435897436,0.5352941176470588
70.0,91.0,0.62,0.7692307692307693,0.5588235294117647
70.0,95.0,0.62,0.7948717948717948,0.5781512605042017
70.0,95.0,0.57,0.8205128205128205,0.6058823529411764
