Label,SourceImage,CandidateType,CurrentGuess,CrackProbability,UserVerdict
497,260622_316_H_b2_back_CBS_01,original,False,0.491,
321,260622_316_H_b2_back_CBS_01,original,False,0.49,
482,260622_316_H_b2_back_CBS_01,original,False,0.489,
500405,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,
500166,260622_316_H_b2_back_CBS_01,concavity,,0.501,
500128,260622_316_H_b2_back_CBS_01,concavity,,0.502,
500078,260622_316_H_b2_back_CBS_01,concavity,,0.497,
500336,260622_316_H_b2_back_CBS_01,interior_fill,,0.496,
500145,260622_316_H_b2_back_CBS_01,concavity,,0.495,
500085,260622_316_H_b2_front_CBS_01,concavity,,0.504,
489,260622_316_H_b2_front_CBS_02,original,True,0.508,
287,260622_316_H_b2_front_CBS_02,original,False,0.49,
410,260622_316_H_b2_front_CBS_02,original,False,0.489,
500086,260622_316_H_b2_front_CBS_02,concavity,,0.499,
500063,260622_316_H_b2_front_CBS_02,concavity,,0.498,
500038,260622_316_H_b2_front_CBS_02,concavity,,0.493,
127,260622_316_H_b2_front_CBS_03,original,False,0.49,
500011,260622_316_H_b2_front_CBS_03,concavity,,0.506,
500171,260622_316_H_b2_front_CBS_04,concavity,,0.497,
500144,260622_316_H_b2_front_CBS_04,concavity,,0.505,
229,260622_316_H_b4_CBS_01,original,True,0.509,
658,260622_316_H_b4_CBS_01,original,False,0.49,
500016,260622_316_H_b4_CBS_01,concavity,,0.496,
332,260622_316_H_b4_CBS_02,original,True,0.509,
500233,260622_316_H_b4_CBS_02,interior_fill,,0.501,
500054,260622_316_H_b4_CBS_02,concavity,,0.497,
500016,260622_316_H_b4_CBS_02,concavity,,0.506,
500128,260622_316_H_b4_CBS_02,concavity,,0.494,
30,260622_316_amb_b3_CBS_01,original,False,0.491,
500082,260622_316_amb_b3_CBS_01,bridge_corridor,,0.497,
500081,260622_316_amb_b3_CBS_02,concavity,,0.495,
153,260708_316_H_b2_front_CBS_003,original,True,0.51,
500149,260708_316_H_b2_front_CBS_003,interior_fill,,0.496,
500137,260708_316_H_b2_front_CBS_005,interior_fill,,0.493,
500050,260708_316_H_b2_front_CBS_006,bridge_corridor,,0.5,
500011,260708_316_H_b2_front_CBS_006,concavity,,0.496,
58,260708_316_H_b2_front_CBS_011,original,False,0.491,
500131,260708_316_H_b2_front_CBS_011,interior_fill,,0.501,
223,260708_316_H_b2_front_CBS_012,original,True,0.509,
187,260708_316_H_b2_front_CBS_012,original,False,0.489,
500038,260708_316_H_b2_front_CBS_012,concavity,,0.5,
500149,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.502,
500008,260708_316_H_b2_front_CBS_016,concavity,,0.503,
500009,260708_316_H_b2_front_CBS_016,concavity,,0.503,
500128,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.504,
