SourceImage,Label,CorrectedTo,RoundAdded
260708_316_H_b2_front_CBS_002,289,False,1
260708_316_H_b2_front_CBS_002,52,False,1
260708_316_H_b2_front_CBS_002,21,False,1
260708_316_H_b2_front_CBS_002,38,False,1
260708_316_H_b2_front_CBS_002,35,False,1
260708_316_H_b2_front_CBS_002,45,False,1
260708_316_H_b2_front_CBS_002,159,True,3
260708_316_H_b2_front_CBS_003,34,False,1
260708_316_H_b2_front_CBS_003,21,False,1
260708_316_H_b2_front_CBS_003,36,False,1
260708_316_H_b2_front_CBS_003,32,False,1
260708_316_H_b2_front_CBS_003,88,False,1
260708_316_H_b2_front_CBS_003,103,False,1
260708_316_H_b2_front_CBS_003,116,False,1
260708_316_H_b2_front_CBS_004,187,False,1
260708_316_H_b2_front_CBS_004,159,False,1
260708_316_H_b2_front_CBS_004,171,False,1
260708_316_H_b2_front_CBS_004,163,False,1
260708_316_H_b2_front_CBS_004,186,False,1
260708_316_H_b2_front_CBS_004,152,False,1
260708_316_H_b2_front_CBS_004,149,False,1
260708_316_H_b2_front_CBS_005,154,False,1
260708_316_H_b2_front_CBS_005,226,False,1
260708_316_H_b2_front_CBS_005,229,False,1
260708_316_H_b2_front_CBS_005,223,False,1
260708_316_H_b2_front_CBS_005,206,False,1
260708_316_H_b2_front_CBS_005,235,False,1
260708_316_H_b2_front_CBS_007,139,False,2
260708_316_H_b2_front_CBS_007,105,False,2
260708_316_H_b2_front_CBS_007,116,False,2
260708_316_H_b2_front_CBS_007,114,False,2
260708_316_H_b2_front_CBS_007,111,False,2
260708_316_H_b2_front_CBS_007,143,False,2
260708_316_H_b2_front_CBS_008,206,False,2
260708_316_H_b2_front_CBS_008,95,False,2
260708_316_H_b2_front_CBS_012,82,False,2
260708_316_H_b2_front_CBS_012,108,False,2
260622_316_amb_b3_CBS_01,14,False,4
260622_316_amb_b3_CBS_01,88,False,4
260622_316_amb_b3_CBS_01,22,False,4
260622_316_amb_b3_CBS_01,27,False,4
260622_316_amb_b3_CBS_01,15,False,4
260622_316_amb_b3_CBS_01,13,False,4
260622_316_amb_b3_CBS_01,29,False,4
260622_316_amb_b3_CBS_01,11,False,4
260622_316_amb_b3_CBS_01,24,False,4
260622_316_amb_b3_CBS_01,26,False,4
260622_316_amb_b3_CBS_02,27,False,4
260622_316_amb_b3_CBS_02,145,False,4
260622_316_amb_b3_CBS_02,41,False,4
260622_316_amb_b3_CBS_02,51,False,4
260622_316_amb_b3_CBS_02,25,False,4
260622_316_amb_b3_CBS_02,228,False,4
260622_316_amb_b3_CBS_02,225,False,4
260622_316_amb_b3_CBS_02,229,False,4
260622_316_amb_b3_CBS_02,53,False,4
260622_316_amb_b3_CBS_02,17,False,4
260622_316_amb_b3_CBS_02,45,False,4
260622_316_amb_b3_CBS_02,50,False,4
260708_316_H_b2_front_CBS_009,152,False,4
260708_316_H_b2_front_CBS_009,126,False,4
260708_316_H_b2_front_CBS_009,99,False,4
260708_316_H_b2_front_CBS_009,155,False,4
260708_316_H_b2_front_CBS_009,153,False,4
260708_316_H_b2_front_CBS_009,138,False,4
260708_316_H_b2_front_CBS_009,146,False,4
260708_316_H_b2_front_CBS_010,167,False,4
260708_316_H_b2_front_CBS_010,171,False,4
260708_316_H_b2_front_CBS_010,72,False,4
260708_316_H_b2_front_CBS_010,245,False,4
260708_316_H_b2_front_CBS_010,248,False,4
